-200.32649813 -506.63746602	-1729.06995375	-2589.69361443	-1729.06995375	-2589.69361443	-1729.06995375	-2589.69361443	-1729.06995375	-2589.69361443	-2589.69361443
-198.32307773 -558.635589411	-1313.11921868	-2582.81056808	-1313.11921868	-2582.81056808	-1313.11921868	-2582.81056808	-1313.11921868	-2582.81056808	-2582.81056808
-196.319660427 -796.747820522	-900.065757471	-2515.90308071	-900.065757471	-2515.90308071	-900.065757471	-2515.90308071	-900.065757471	-2515.90308071	-2515.90308071
-194.316246222 -1140.9216799	-511.487760116	-2393.6010443	-511.487760116	-2393.6010443	-511.487760116	-2393.6010443	-511.487760116	-2393.6010443	-2393.6010443
-192.312835117 -1524.6505309	-202.185541129	-2225.0575263	-202.185541129	-2225.0575263	-202.185541129	-2225.0575263	-202.185541129	-2225.0575263	-2225.0575263
-190.309427113 -1884.70041755	-48.2455866744	-2022.28730391	-48.2455866744	-2022.28730391	-48.2455866744	-2022.28730391	-48.2455866744	-2022.28730391	-2022.28730391
-188.306022211 -2193.88623406	22.9770141968	-1808.27524902	22.9770141968	-1808.27524902	22.9770141968	-1808.27524902	22.9770141968	-1808.27524902	-1808.27524902
-186.302620412 -2423.64127502	210.744241212	-1594.31843902	210.744241212	-1594.31843902	210.744241212	-1594.31843902	210.744241212	-1594.31843902	-1594.31843902
-184.299221718 -2593.73898098	182.292379457	-1378.63421402	182.292379457	-1378.63421402	182.292379457	-1378.63421402	182.292379457	-1378.63421402	-1378.63421402
-182.295826131 -2724.98487308	15.1717257222	-1150.17891417	15.1717257222	-1150.17891417	15.1717257222	-1150.17891417	15.1717257222	-1150.17891417	-1150.17891417
-180.292433651 -2828.54909152	-89.8935523447	-903.325982376	-89.8935523447	-903.325982376	-89.8935523447	-903.325982376	-89.8935523447	-903.325982376	-903.325982376
-178.28904428 -2906.22108251	-249.849654576	-646.034539747	-249.849654576	-646.034539747	-249.849654576	-646.034539747	-249.849654576	-646.034539747	-646.034539747
-176.285658019 -2968.80415393	-401.991181329	-406.127708651	-401.991181329	-406.127708651	-401.991181329	-406.127708651	-401.991181329	-406.127708651	-406.127708651
-174.28227487 -3050.84044652	-550.657316306	-233.861044771	-550.657316306	-233.861044771	-550.657316306	-233.861044771	-550.657316306	-233.861044771	-233.861044771
-172.278894834 -3118.24480607	-697.573159629	-192.311513989	-697.573159629	-192.311513989	-697.573159629	-192.311513989	-697.573159629	-192.311513989	-192.311513989
-170.275517912 -3158.51236281	-830.498720482	-267.824781121	-830.498720482	-267.824781121	-830.498720482	-267.824781121	-830.498720482	-267.824781121	-267.824781121
-168.272144105 -3206.25250193	-957.731411516	-384.59239329	-957.731411516	-384.59239329	-957.731411516	-384.59239329	-957.731411516	-384.59239329	-384.59239329
-166.268773416 -3291.38859922	-1084.96745494	-516.538862519	-1084.96745494	-516.538862519	-1084.96745494	-516.538862519	-1084.96745494	-516.538862519	-516.538862519
-164.265405844 -3397.83949697	-1226.03916071	-651.02999177	-1226.03916071	-651.02999177	-1226.03916071	-651.02999177	-1226.03916071	-651.02999177	-651.02999177
-162.262041392 -3447.43873581	-1379.88057665	-779.128016256	-1379.88057665	-779.128016256	-1379.88057665	-779.128016256	-1379.88057665	-779.128016256	-779.128016256
-160.258680061 -3477.24074126	-1535.82405925	-908.603442537	-1535.82405925	-908.603442537	-1535.82405925	-908.603442537	-1535.82405925	-908.603442537	-908.603442537
-158.255321853 -3533.8713527	-1683.12404272	-1037.48267373	-1683.12404272	-1037.48267373	-1683.12404272	-1037.48267373	-1683.12404272	-1037.48267373	-1037.48267373
-156.251966767 -3560.21871668	-1812.59538463	-1164.51130425	-1812.59538463	-1164.51130425	-1812.59538463	-1164.51130425	-1812.59538463	-1164.51130425	-1164.51130425
-154.248614807 -3576.2172899	-1923.52373166	-1278.38289896	-1923.52373166	-1278.38289896	-1923.52373166	-1278.38289896	-1923.52373166	-1278.38289896	-1278.38289896
-152.245265972 -3628.3330045	-2013.32347768	-1375.79127632	-2013.32347768	-1375.79127632	-2013.32347768	-1375.79127632	-2013.32347768	-1375.79127632	-1375.79127632
-150.241920265 -3683.66852784	-2082.30342691	-1470.41426734	-2082.30342691	-1470.41426734	-2082.30342691	-1470.41426734	-2082.30342691	-1470.41426734	-1470.41426734
-148.238577687 -3723.82202955	-2127.97266817	-1567.19839305	-2127.97266817	-1567.19839305	-2127.97266817	-1567.19839305	-2127.97266817	-1567.19839305	-1567.19839305
-146.235238239 -3753.77722178	-2156.29338081	-1672.65841341	-2156.29338081	-1672.65841341	-2156.29338081	-1672.65841341	-2156.29338081	-1672.65841341	-1672.65841341
-144.231901922 -3745.70242916	-2174.09357581	-1784.49582407	-2174.09357581	-1784.49582407	-2174.09357581	-1784.49582407	-2174.09357581	-1784.49582407	-1784.49582407
-142.228568738 -3724.21049326	-2192.44643416	-1891.42512575	-2192.44643416	-1891.42512575	-2192.44643416	-1891.42512575	-2192.44643416	-1891.42512575	-1891.42512575
-140.225238688 -3717.40767349	-2219.03969846	-1980.00123087	-2219.03969846	-1980.00123087	-2219.03969846	-1980.00123087	-2219.03969846	-1980.00123087	-1980.00123087
-138.221911774 -3766.25347684	-2257.54495615	-2041.23234489	-2257.54495615	-2041.23234489	-2257.54495615	-2041.23234489	-2257.54495615	-2041.23234489	-2041.23234489
-136.218587996 -3853.23988879	-2308.60140707	-2078.02300744	-2308.60140707	-2078.02300744	-2308.60140707	-2078.02300744	-2308.60140707	-2078.02300744	-2078.02300744
-134.215267355 -3947.75679776	-2368.32720361	-2099.23433168	-2368.32720361	-2099.23433168	-2368.32720361	-2099.23433168	-2368.32720361	-2099.23433168	-2099.23433168
