-200.32649813 -506.63746602	-1729.06995375	-2589.69361443	-2904.49354332	-2045.70088149	-231.882991616	-273.059927213	-128.641942881	-79.6685059241	-94.4805666062
-198.32307773 -558.635589411	-1313.11921868	-2582.81056808	-2782.91576643	-1977.92061849	-228.633684693	-245.555695133	-72.5146302177	-70.8741016694	-85.0181167871
-196.319660427 -796.747820522	-900.065757471	-2515.90308071	-2642.73844216	-1901.3101631	-296.952488627	-202.284398314	-63.3680585494	-56.3579020944	-70.7239327088
-194.316246222 -1140.9216799	-511.487760116	-2393.6010443	-2471.01141618	-1828.92062457	-405.215366169	-166.978978394	-33.1660672285	-42.734941929	-70.6183190571
-192.312835117 -1524.6505309	-202.185541129	-2225.0575263	-2251.79325866	-1767.36997151	-524.697458436	-177.101374055	115.532511675	-23.92232064	-72.7522059601
-190.309427113 -1884.70041755	-48.2455866744	-2022.28730391	-1975.30864526	-1709.95385692	-626.416419656	-160.141771151	322.092392943	111.402743096	-60.6147071462
-188.306022211 -2193.88623406	22.9770141968	-1808.27524902	-1651.23112028	-1631.21843426	-697.281534732	-104.318473876	552.252730674	289.0750829	-49.7728137108
-186.302620412 -2423.64127502	210.744241212	-1594.31843902	-1287.23533885	-1509.35209236	-730.242986733	-39.270423934	294.02401769	457.973772736	-39.8165699577
-184.299221718 -2593.73898098	182.292379457	-1378.63421402	-902.314882734	-1326.57147752	-710.056787137	28.1630124957	145.686759814	651.410261731	-31.585287529
-182.295826131 -2724.98487308	15.1717257222	-1150.17891417	-539.1370977	-1086.73402647	-624.80723987	97.3431437452	85.7250068906	915.304427235	-24.4527754136
-180.292433651 -2828.54909152	-89.8935523447	-903.325982376	-250.342660301	-814.509371277	-477.365698861	113.765593395	10.3135488519	930.6804378	-21.1694090865
-178.28904428 -2906.22108251	-249.849654576	-646.034539747	-89.946666709	-551.380404368	-312.398327627	153.237853348	15.4503156518	715.383403043	-19.6563859855
-176.285658019 -2968.80415393	-401.991181329	-406.127708651	-63.4691357856	-346.044876799	-162.720109833	69.5785811643	-0.586726968166	701.28189754	-10.7163529801
-174.28227487 -3050.84044652	-550.657316306	-233.861044771	-185.170970136	-225.573608166	-57.8711230298	-64.5601083886	-19.8455503975	493.513146953	-9.31006274408
-172.278894834 -3118.24480607	-697.573159629	-192.311513989	-437.900431988	-183.139477968	-35.0166576784	-154.08039556	-36.2502618826	313.768340741	-10.836329151
-170.275517912 -3158.51236281	-830.498720482	-267.824781121	-756.626003541	-200.53192274	-69.4872519318	-201.49801233	-48.2641822281	113.179910576	-12.9335744695
-168.272144105 -3206.25250193	-957.731411516	-384.59239329	-1088.57985137	-268.056308234	-98.4327487084	-252.120177065	-45.9908138	55.4453070634	-18.689190826
-166.268773416 -3291.38859922	-1084.96745494	-516.538862519	-1385.9331654	-368.416502934	-108.290312702	-285.443559278	-36.1755583888	2.91298199941	-18.2161923578
-164.265405844 -3397.83949697	-1226.03916071	-651.02999177	-1614.42019207	-493.852192072	-120.01239737	-289.406896964	-31.9977589576	-21.9596344356	-5.74913848767
-162.262041392 -3447.43873581	-1379.88057665	-779.128016256	-1761.49483007	-637.94947239	-179.842307723	-272.737864109	-50.1075423659	-25.0065140653	38.2962346604
-160.258680061 -3477.24074126	-1535.82405925	-908.603442537	-1848.01997951	-791.27128808	-289.529470927	-268.557878208	-99.9726734975	-23.312375628	-3.26054255843
-158.255321853 -3533.8713527	-1683.12404272	-1037.48267373	-1903.86558168	-955.582799535	-401.444434978	-278.677454071	-101.789980753	-20.6780587171	-22.6956593495
-156.251966767 -3560.21871668	-1812.59538463	-1164.51130425	-1952.8083846	-1115.6287164	-498.325689275	-283.999442221	-101.434667974	-31.495485576	-33.6557245044
-154.248614807 -3576.2172899	-1923.52373166	-1278.38289896	-2009.90890889	-1250.774511	-578.414230556	-286.208602799	-115.518134653	-49.2957516987	-41.8338242739
-152.245265972 -3628.3330045	-2013.32347768	-1375.79127632	-2075.6951816	-1352.42107118	-639.583637888	-289.501743493	-131.552875799	-64.4178689394	-48.3145286774
-150.241920265 -3683.66852784	-2082.30342691	-1470.41426734	-2143.05600335	-1421.50515049	-682.435909331	-297.088398422	-141.762866676	-69.6139028342	-50.6629257795
-148.238577687 -3723.82202955	-2127.97266817	-1567.19839305	-2202.6464496	-1464.21644485	-713.429611714	-305.825297609	-150.015426376	-74.2912324186	-51.3555011712
-146.235238239 -3753.77722178	-2156.29338081	-1672.65841341	-2247.22844762	-1487.53814117	-736.82674566	-309.522657881	-152.739878158	-76.9094173331	-54.8713602243
-144.231901922 -3745.70242916	-2174.09357581	-1784.49582407	-2276.59459612	-1499.38722877	-756.531397482	-308.17689917	-148.37272118	-83.180335559	-58.1792809307
-142.228568738 -3724.21049326	-2192.44643416	-1891.42512575	-2294.73502855	-1508.36005056	-772.897404472	-301.634605042	-141.746822741	-90.9368929651	-60.955258852
-140.225238688 -3717.40767349	-2219.03969846	-1980.00123087	-2303.79580557	-1518.87749859	-782.428942494	-289.800257093	-140.879220269	-93.5517135587	-63.3155949409
-138.221911774 -3766.25347684	-2257.54495615	-2041.23234489	-2303.20257221	-1530.17139121	-778.617097932	-276.600150679	-140.059164135	-97.1493727655	-68.1518280252
-136.218587996 -3853.23988879	-2308.60140707	-2078.02300744	-2288.94973157	-1541.48861136	-757.768556475	-259.463208993	-135.750477078	-116.214536519	-73.6925973432
-134.215267355 -3947.75679776	-2368.32720361	-2099.23433168	-2261.42987806	-1542.7841385	-727.055244496	-241.053558583	-112.717993413	-148.973889311	-81.3057697651
-132.211949855 -4041.98640146	-2430.81514683	-2112.31564314	-2225.63909441	-1531.5179736	-687.448601625	-219.377080303	-102.843605403	-183.326992449	-87.3450783946
-130.208635494 -4142.73866384	-2491.83793733	-2121.1754261	-2188.17057776	-1502.15928712	-612.359223103	-193.770248165	-111.843493196	-210.541991517	-90.3518233596
-128.205324276 -4239.1745417	-2555.0302142	-2129.90498636	-2154.66607834	-1453.57676089	-489.570802328	-167.316758418	-119.090082588	-230.40577151	-93.8787817635
-126.2020162 -4323.24897477	-2619.0107199	-2141.56753491	-2133.00580015	-1379.64391838	-345.598268557	-140.681496289	-125.144377356	-250.882583545	-100.580355152
-124.198711269 -4393.40996371	-2685.07565149	-2162.56383177	-2125.16689035	-1264.77900002	-238.448184718	-121.377989572	-126.640023511	-279.484599094	-107.483721879
-122.195409484 -4447.0082874	-2743.66575189	-2195.68077907	-2131.2432673	-1099.80222851	-190.985687009	-109.456308649	-134.771140215	-319.922631828	-113.580513567
-120.192110846 -4482.06923732	-2785.63400356	-2241.61839928	-2146.58434219	-902.099342597	-175.132351241	-109.970240558	-144.873725688	-376.824225165	-122.032061036
-118.188815357 -4496.38415719	-2809.38334007	-2300.11034171	-2171.56332195	-691.75619542	-162.188353469	-120.714148236	-151.045138351	-446.424021179	-131.78396522
-116.185523016 -4497.27972335	-2813.89454369	-2367.47556624	-2198.93999371	-492.063872851	-148.18684164	-142.425025088	-153.801355578	-534.991953725	-140.491836874
-114.182233827 -4491.89387743	-2804.02399751	-2439.18471126	-2217.46089548	-323.813160899	-140.660224776	-171.71347178	-162.201619672	-649.616750296	-139.168475017
-112.17894779 -4498.2097498	-2789.13681259	-2511.34673284	-2219.64962825	-211.575156086	-147.59913806	-209.649655149	-182.146843059	-787.397767703	-146.316934858
-110.175664907 -4510.56532105	-2778.99906619	-2576.54154977	-2202.26385345	-173.931047148	-171.964614324	-259.370067958	-198.376936412	-932.549397074	-157.30984131
-108.172385178 -4530.45024641	-2788.08833334	-2634.21353888	-2167.45715402	-178.970049956	-212.740530504	-325.557484896	-209.077310713	-1074.78290457	-163.801561838
-106.169108606 -4538.95836071	-2818.50578659	-2685.4002039	-2124.10664083	-177.693473552	-261.270505482	-410.508922765	-213.919390952	-1211.41719678	-177.846888439
-104.165835191 -4535.67111436	-2869.92393059	-2732.66170121	-2080.36946474	-167.600640862	-310.062197954	-506.713990491	-215.606148291	-1336.13622115	-197.398679902
-102.162564934 -4515.31706399	-2925.57301423	-2786.03941483	-2034.5846976	-152.172869902	-357.40468532	-608.884435707	-220.549220596	-1443.49622426	-202.835758169
-100.159297838 -4472.11837578	-2979.46456008	-2848.39141148	-1980.13230452	-144.167562175	-409.764791011	-712.435519645	-244.385486358	-1527.03020489	-211.277270153
-98.1560339025 -4423.93406987	-3020.28755021	-2901.23666188	-1903.36815348	-156.740107413	-474.050513737	-818.86545464	-315.718761668	-1586.03353194	-226.059599106
-96.1527731297 -4387.73516685	-3045.38528522	-2915.5841179	-1793.07916245	-181.563028853	-555.904593835	-932.078546527	-455.850756297	-1624.88808146	-250.499713661
-94.1495155208 -4377.69041425	-3060.69909642	-2886.91376976	-1626.935175	-217.36462413	-654.302653565	-1055.0059321	-640.570962327	-1654.21210156	-269.469850291
-92.146261077 -4406.08631869	-3073.17494404	-2872.85712142	-1405.50680069	-279.786808031	-761.524018182	-1187.61884859	-824.530223539	-1682.01950094	-268.979591477
-90.1430097995 -4476.1050944	-3088.46016947	-2881.08336996	-1181.28242911	-384.983717507	-865.919356642	-1333.02750472	-989.800882681	-1715.49714838	-226.823925119
-88.1397616897 -4585.69952276	-3110.40874683	-2904.14710188	-1004.9729742	-522.578747514	-954.988424322	-1489.79874412	-1132.79749256	-1750.38706617	-175.458615103
-86.1365167488 -4728.91795276	-3143.1923872	-2931.04073941	-856.489861691	-678.323994641	-1030.31413306	-1657.64224869	-1263.44616388	-1779.87132954	-182.818770364
-84.1332749782 -4899.15976616	-3186.60778219	-2961.51851824	-806.361239565	-837.554121102	-1097.42714603	-1830.08934323	-1389.70664082	-1797.04276725	-360.537946223
-82.1300363789 -5082.09699419	-3241.46558	-3007.23463976	-944.082299363	-1061.88896388	-1169.17466662	-2002.22671761	-1510.60253571	-1798.83210703	-531.044987229
-80.1268009525 -5266.37333569	-3308.04755859	-3075.15933924	-1130.34362663	-1336.96088182	-1259.99317444	-2171.39578449	-1632.60163584	-1790.34731682	-672.898082587
-78.1235687 -5440.17146963	-3381.73332178	-3158.90312842	-1355.80391027	-1681.14256838	-1378.44135409	-2338.20563815	-1762.17799888	-1782.23305288	-794.40990975
-76.1203396228 -5591.77352549	-3469.22155334	-3254.9636991	-1627.94741516	-2035.35313201	-1529.78023137	-2502.67318526	-1903.62846922	-1780.52658979	-900.070415748
-74.1171137222 -5717.92710003	-3578.27700905	-3356.15159178	-1715.18159378	-2386.59396431	-1714.1099262	-2664.78992406	-2058.25169814	-1784.98925421	-996.408191046
